comparison,comparison_label,group,feature_type,feature,label_a,label_b,effect_size,pvalue,neg_log_pvalue,significant,n_samples_a,n_samples_b
target_top_vs_other_top,top 1 vs other top,B,repertoire,repertoire_6,1:top,other:top,3.4556213095065296,3.7565127337837243e-6,5.425215134655281,true,9,9
target_top_vs_other_top,top 0 vs other top,B,repertoire,repertoire_6,0:top,other:top,-3.4556213095065296,3.7565127337837243e-6,5.425215134655281,true,9,9
target_top_vs_other_top,top 1 vs other top,B,repertoire,repertoire_8,1:top,other:top,2.321622183523608,0.0002179888716618868,3.6615656765751887,true,9,9
target_top_vs_other_top,top 0 vs other top,B,repertoire,repertoire_8,0:top,other:top,-2.321622183523608,0.0002179888716618868,3.6615656765751887,true,9,9
target_top_vs_other_top,top 1 vs other top,B,repertoire,repertoire_9,1:top,other:top,2.1044656452208383,0.0004851655384860639,3.3141100548311537,true,9,9
target_top_vs_other_top,top 0 vs other top,B,repertoire,repertoire_9,0:top,other:top,-2.1044656452208383,0.0004851655384860639,3.3141100548311537,true,9,9
target_top_vs_other_top,top 1 vs other top,B,repertoire,repertoire_10,1:top,other:top,2.1410468060281245,0.0006608376002747512,3.179905254538652,true,9,9
target_top_vs_other_top,top 0 vs other top,B,repertoire,repertoire_10,0:top,other:top,-2.1410468060281245,0.0006608376002747512,3.179905254538652,true,9,9
target_top_vs_other_top,top 1 vs other top,B,repertoire,repertoire_7,1:top,other:top,1.8780510105528054,0.0013751882355210899,2.8616378516134175,true,9,9
target_top_vs_other_top,top 0 vs other top,B,repertoire,repertoire_7,0:top,other:top,-1.8780510105528054,0.0013751882355210899,2.8616378516134175,true,9,9
target_top_vs_other_top,top 0 vs other top,B,repertoire,repertoire_3,0:top,other:top,1.1392930882683623,0.029313859519544037,1.5329269977440223,true,9,9
target_top_vs_other_top,top 1 vs other top,B,repertoire,repertoire_3,1:top,other:top,-1.1392930882683623,0.029313859519544037,1.5329269977440223,true,9,9
target_top_vs_other_top,top 1 vs other top,B,repertoire,repertoire_11,1:top,other:top,1.0583525324044365,0.041637401454392715,1.3805163821690132,true,9,9
target_top_vs_other_top,top 0 vs other top,B,repertoire,repertoire_11,0:top,other:top,-1.0583525324044365,0.041637401454392715,1.3805163821690132,true,9,9
target_top_vs_other_top,top 1 vs other top,B,repertoire,repertoire_2,1:top,other:top,1.025230911538569,0.0450704818893212,1.3461077984687546,true,9,9
target_top_vs_other_top,top 0 vs other top,B,repertoire,repertoire_2,0:top,other:top,-1.025230911538569,0.0450704818893212,1.3461077984687546,true,9,9
target_top_vs_other_top,top 1 vs other top,B,repertoire,repertoire_5,1:top,other:top,-0.6562345246064727,0.18294952044241836,0.7376687245730251,false,9,9
target_top_vs_other_top,top 0 vs other top,B,repertoire,repertoire_5,0:top,other:top,0.6562345246064727,0.18294952044241836,0.7376687245730251,false,9,9
target_top_vs_other_top,top 0 vs other top,B,repertoire,repertoire_1,0:top,other:top,-0.40147524671407403,0.410284406129254,0.3869149891523037,false,9,9
target_top_vs_other_top,top 1 vs other top,B,repertoire,repertoire_1,1:top,other:top,0.40147524671407403,0.410284406129254,0.3869149891523037,false,9,9
target_top_vs_other_top,top 0 vs other top,B,repertoire,repertoire_0,0:top,other:top,0.03711112891570202,0.9382411847979695,0.027685507289602528,false,9,9
target_top_vs_other_top,top 1 vs other top,B,repertoire,repertoire_0,1:top,other:top,-0.03711112891570202,0.9382411847979695,0.027685507289602528,false,9,9
target_top_vs_other_top,top 1 vs other top,B,repertoire,repertoire_4,1:top,other:top,0.0344564001819496,0.9428235289202671,0.025569587844011168,false,9,9
target_top_vs_other_top,top 0 vs other top,B,repertoire,repertoire_4,0:top,other:top,-0.0344564001819496,0.9428235289202671,0.025569587844011168,false,9,9
top_label_vs_top_label,top 1 vs top 0,B,repertoire,repertoire_6,1:top,0:top,3.4556213095065296,3.7565127337837243e-6,5.425215134655281,true,9,9
top_label_vs_top_label,top 1 vs top 0,B,repertoire,repertoire_8,1:top,0:top,2.321622183523608,0.0002179888716618868,3.6615656765751887,true,9,9
top_label_vs_top_label,top 1 vs top 0,B,repertoire,repertoire_9,1:top,0:top,2.1044656452208383,0.0004851655384860639,3.3141100548311537,true,9,9
top_label_vs_top_label,top 1 vs top 0,B,repertoire,repertoire_10,1:top,0:top,2.1410468060281245,0.0006608376002747512,3.179905254538652,true,9,9
top_label_vs_top_label,top 1 vs top 0,B,repertoire,repertoire_7,1:top,0:top,1.8780510105528054,0.0013751882355210899,2.8616378516134175,true,9,9
top_label_vs_top_label,top 1 vs top 0,B,repertoire,repertoire_3,1:top,0:top,-1.1392930882683623,0.029313859519544037,1.5329269977440223,true,9,9
top_label_vs_top_label,top 1 vs top 0,B,repertoire,repertoire_11,1:top,0:top,1.0583525324044365,0.041637401454392715,1.3805163821690132,true,9,9
top_label_vs_top_label,top 1 vs top 0,B,repertoire,repertoire_2,1:top,0:top,1.025230911538569,0.0450704818893212,1.3461077984687546,true,9,9
top_label_vs_top_label,top 1 vs top 0,B,repertoire,repertoire_5,1:top,0:top,-0.6562345246064727,0.18294952044241836,0.7376687245730251,false,9,9
top_label_vs_top_label,top 1 vs top 0,B,repertoire,repertoire_1,1:top,0:top,0.40147524671407403,0.410284406129254,0.3869149891523037,false,9,9
top_label_vs_top_label,top 1 vs top 0,B,repertoire,repertoire_0,1:top,0:top,-0.03711112891570202,0.9382411847979695,0.027685507289602528,false,9,9
top_label_vs_top_label,top 1 vs top 0,B,repertoire,repertoire_4,1:top,0:top,0.0344564001819496,0.9428235289202671,0.025569587844011168,false,9,9
top_vs_rest_within_label,1: top vs rest,B,repertoire,repertoire_6,1:top,1:rest,2.4304779097984732,0.00008458566037720395,4.072703255718665,true,9,9
top_vs_rest_within_label,1: top vs rest,B,repertoire,repertoire_10,1:top,1:rest,2.3928597353556698,0.00009440821454941089,4.024990215677898,true,9,9
top_vs_rest_within_label,1: top vs rest,B,repertoire,repertoire_8,1:top,1:rest,1.8699820635995175,0.0005043648383559598,3.297255197753711,true,9,9
top_vs_rest_within_label,1: top vs rest,B,repertoire,repertoire_9,1:top,1:rest,1.5401565959397323,0.001709152209002736,2.7672192593468683,true,9,9
top_vs_rest_within_label,1: top vs rest,B,repertoire,repertoire_11,1:top,1:rest,1.399449207025017,0.0030032872406893993,2.5224031289796205,true,9,9
top_vs_rest_within_label,1: top vs rest,B,repertoire,repertoire_7,1:top,1:rest,1.3768903635674055,0.0032954107088918614,2.482090451331018,true,9,9
top_vs_rest_within_label,0: top vs rest,B,repertoire,repertoire_11,0:top,0:rest,1.321063589857218,0.004158400156591938,2.381073721488933,true,9,9
top_vs_rest_within_label,0: top vs rest,B,repertoire,repertoire_1,0:top,0:rest,-1.2614922449692907,0.005353838226206984,2.2713347557727466,true,9,9
top_vs_rest_within_label,0: top vs rest,B,repertoire,repertoire_0,0:top,0:rest,-0.9385890990173376,0.022641000231607238,1.6451043908463026,true,9,9
top_vs_rest_within_label,1: top vs rest,B,repertoire,repertoire_0,1:top,1:rest,-0.8761706004267173,0.030247993967497316,1.519303422258946,true,9,9
top_vs_rest_within_label,0: top vs rest,B,repertoire,repertoire_3,0:top,0:rest,0.8318261181492391,0.03720324708390233,1.4294191534224348,true,9,9
top_vs_rest_within_label,0: top vs rest,B,repertoire,repertoire_5,0:top,0:rest,0.6495548476647554,0.08717185767351074,1.059623698894931,false,9,9
top_vs_rest_within_label,0: top vs rest,B,repertoire,repertoire_8,0:top,0:rest,0.6150990062885889,0.10221157334759053,0.990499926545474,false,9,9
top_vs_rest_within_label,0: top vs rest,B,repertoire,repertoire_6,0:top,0:rest,-0.6071057037942235,0.10603803204380224,0.9745383409205377,false,9,9
top_vs_rest_within_label,1: top vs rest,B,repertoire,repertoire_2,1:top,1:rest,0.45762263690685856,0.2070422366987645,0.683941049257703,false,9,9
top_vs_rest_within_label,1: top vs rest,B,repertoire,repertoire_1,1:top,1:rest,-0.39778206640988506,0.2669198691728076,0.5736190966848272,false,9,9
top_vs_rest_within_label,0: top vs rest,B,repertoire,repertoire_10,0:top,0:rest,0.38510586685931775,0.28129851132800754,0.550832566177289,false,9,9
top_vs_rest_within_label,0: top vs rest,B,repertoire,repertoire_2,0:top,0:rest,-0.3061376930719403,0.38525566756120055,0.41425096358306623,false,9,9
top_vs_rest_within_label,1: top vs rest,B,repertoire,repertoire_3,1:top,1:rest,-0.26389785451122905,0.4513727629169483,0.34546465099986085,false,9,9
top_vs_rest_within_label,0: top vs rest,B,repertoire,repertoire_7,0:top,0:rest,-0.18386685086656573,0.5962887211614437,0.22454340528393235,false,9,9
top_vs_rest_within_label,0: top vs rest,B,repertoire,repertoire_9,0:top,0:rest,0.14201223943447974,0.6813121219327397,0.16665388400693204,false,9,9
top_vs_rest_within_label,1: top vs rest,B,repertoire,repertoire_5,1:top,1:rest,-0.1303945916730813,0.7058736966224668,0.15127300116785788,false,9,9
top_vs_rest_within_label,1: top vs rest,B,repertoire,repertoire_4,1:top,1:rest,-0.10255841408224696,0.7661871835891444,0.11566511696148406,false,9,9
top_vs_rest_within_label,0: top vs rest,B,repertoire,repertoire_4,0:top,0:rest,0.0462682054560474,0.8930350535418405,0.04913149378669444,false,9,9
target_top_vs_other_top,top 0 vs other top,B,transcriptome,transcriptome_10,0:top,other:top,-2.7169754110192015,0.00003358907267888216,4.473801985917301,true,9,9
target_top_vs_other_top,top 1 vs other top,B,transcriptome,transcriptome_10,1:top,other:top,2.7169754110192015,0.00003358907267888216,4.473801985917301,true,9,9
target_top_vs_other_top,top 1 vs other top,B,transcriptome,transcriptome_3,1:top,other:top,2.4905311506754884,0.0000798529434325339,4.097709070847387,true,9,9
target_top_vs_other_top,top 0 vs other top,B,transcriptome,transcriptome_3,0:top,other:top,-2.4905311506754884,0.0000798529434325339,4.097709070847387,true,9,9
target_top_vs_other_top,top 0 vs other top,B,transcriptome,transcriptome_7,0:top,other:top,-2.236324270601488,0.00032466597469126544,3.4885632234717,true,9,9
target_top_vs_other_top,top 1 vs other top,B,transcriptome,transcriptome_7,1:top,other:top,2.236324270601488,0.00032466597469126544,3.4885632234717,true,9,9
target_top_vs_other_top,top 1 vs other top,B,transcriptome,transcriptome_2,1:top,other:top,2.073723724149784,0.00045045112202063344,3.3463523269676423,true,9,9
target_top_vs_other_top,top 0 vs other top,B,transcriptome,transcriptome_2,0:top,other:top,-2.073723724149784,0.00045045112202063344,3.3463523269676423,true,9,9
target_top_vs_other_top,top 0 vs other top,B,transcriptome,transcriptome_11,0:top,other:top,-1.8810528355907778,0.0010615273031391078,2.974068831031511,true,9,9
target_top_vs_other_top,top 1 vs other top,B,transcriptome,transcriptome_11,1:top,other:top,1.8810528355907778,0.0010615273031391078,2.974068831031511,true,9,9
target_top_vs_other_top,top 1 vs other top,B,transcriptome,transcriptome_8,1:top,other:top,1.8680195044373695,0.0013759484816107768,2.8613978266899105,true,9,9
target_top_vs_other_top,top 0 vs other top,B,transcriptome,transcriptome_8,0:top,other:top,-1.8680195044373695,0.0013759484816107768,2.8613978266899105,true,9,9
target_top_vs_other_top,top 1 vs other top,B,transcriptome,transcriptome_0,1:top,other:top,1.4513896600621374,0.007215075039204422,2.141759147738479,true,9,9
target_top_vs_other_top,top 0 vs other top,B,transcriptome,transcriptome_0,0:top,other:top,-1.4513896600621374,0.007215075039204422,2.141759147738479,true,9,9
